0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99999,0.999995,0.999999,0.9999995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527.042,1000,284.018,1000,32.818,1000,444.995,210.912,54.37,441.396,134.019,598.619,1000,1000,1000,1000,583.29,1000,1000,1000,1000,470.25,1000,1000,1000,260.085,1000,482.629,1000,1000,1000,1000,1000,1000,1000,1000,91.661,1000,1000,1000,1000,495.547,798.841,1000,249.137,1000,72.946,1000,761.904,37.098,1000,1000,1000,314.866,1000,603.779,1000,713.215
319.438,1000,56.47,1000,1000,1000,12.764,765.44,761.687,821.033,1000,1000,57.23,1000,154.838,450.585,577.432,1000,815.586,1000,665.663,496.422,1000,1000,1000,1000,180.413,919.596,1000,1000,1000,1000,726.244,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,23.189,1000,315.176,364.508,116.111,103.577,307.013,20.251,1000,1000,1000,1000,1000,1000,1000
614.009,436.39,627.622,804.021,1000,1000,524.469,366.686,1000,476.95,353.671,18.728,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,23.727,558.853,776.193,1000,1000,1000,14.663,1000,1000,1000,1000,946.99,1000,1000,1000,1000,654.283,14.79,608.464,756.599,961.815,1000,1000,264.471,977.807,75.666,111.254,1000,1000,209.363,1000,213.9,1000,816.142
704.142,1000,504.293,866.803,1000,316.592,91.956,1000,428.935,57.604,1000,768.3,1000,1000,100.297,1000,1000,1000,812.447,1000,1000,1000,481.01,1000,1000,1000,380.366,1000,1000,1000,648.63,1000,1000,1000,1000,643.005,1000,1000,1000,1000,1000,565.913,1000,1000,818.961,1000,634.826,771.767,252.243,106.234,1000,1000,1000,1000,907.491,1000,1000,211.49
53.281,1000,1000,641.135,150.648,436.038,255.407,168.325,178.898,1000,1000,1000,647.366,1000,1000,580.409,888.783,122.08,1000,1000,1000,219.525,1000,1000,1000,1000,386.895,1000,1000,1000,239.41,1000,1000,1000,1000,769.011,898.705,1000,1000,1000,92.048,688.395,92.451,876.03,78.208,1000,748.335,1000,27.499,1000,1000,1000,1000,1000,1000,1000,1000,1000
1000,48.881,64.836,544.785,48.196,1000,1000,1000,1000,1000,507.547,77.421,1000,838.038,1000,919.784,613.885,70.674,924.452,1000,153.347,466.651,1000,1000,1000,57.255,1000,1000,1000,1000,765.454,1000,1000,1000,1000,73.605,1000,1000,1000,1000,1000,1000,456.817,468.154,289.545,1000,1000,716.029,859.02,507.387,1000,1000,715.456,1000,1000,919.146,200.864,1000
1000,357.362,706.781,18.235,1000,209.984,1000,345.331,4.773,258.808,31.14,59.525,747.931,1000,1000,270.227,73.228,12.228,1000,1000,319.297,480.501,865.781,1000,1000,94.321,995.719,1000,1000,855.171,81.657,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,59.017,454.635,426.001,762.77,1000,1000,268.526,1000,1000,1000,1000,1000,227.382,316.232,1000
900.55,296.269,444.777,226.511,478.666,1000,49.927,178.9,1000,1000,735.604,420.747,111.941,496.891,1000,1000,1000,326.108,1000,338.758,37.244,1000,114.011,40.076,1000,497.165,765.48,1000,1000,1000,393.405,1000,1000,1000,1000,1000,534.964,1000,1000,1000,1000,677.239,312.93,340.861,22.777,173.607,667.614,1000,177.082,328.271,1000,1000,1000,1000,1000,1000,410.813,1000
1000,132.557,265.705,428.866,618.467,638.472,1000,1000,1000,1000,424.487,468.889,1000,431.127,75.776,557.348,1000,1000,1000,1000,761.791,1000,381.463,451.053,1000,62.685,752.296,1000,1000,1000,1000,567.05,1000,1000,345.759,660.54,1000,1000,1000,1000,1000,1000,964.757,432.259,382.506,1000,477.436,139.285,603.447,23.593,1000,505.049,1000,1000,1000,1000,1000,1000
448.082,429.014,155.707,498.976,286.582,1000,1000,1000,154.931,1000,639.901,16.321,1000,6.545,1000,864.937,186.898,211.805,1000,1000,462.067,271.015,1000,1000,1000,1000,1000,1000,1000,1000,1000,479.118,1000,1000,1000,1000,782.931,1000,1000,1000,1000,510.35,1000,1000,496.104,1000,360.431,495.712,624.394,401.192,1000,1000,1000,117.701,1000,1000,1000,320.328
